Fecha,Descripción,Importe
15/01/2024,Nómina Empresa S.L.,2500.00
16/01/2024,Mercadona Compra,"-85.50"
17/01/2024,Repsol Gasolina,"-65.00"
18/01/2024,Netflix Suscripción,"-15.99"
19/01/2024,Restaurante La Tasca,"-45.00"
20/01/2024,Farmacia Cruz Verde,"-18.50"
21/01/2024,Transferencia Bizum,50.00
22/01/2024,Vodafone Factura,"-45.00"
23/01/2024,Zara Compra Ropa,"-89.90"
24/01/2024,Supermercado Dia,"-52.30"
25/01/2024,Metro Madrid Abono,"-54.60"
26/01/2024,Gimnasio Sport Center,"-45.00"
27/01/2024,Amazon Compra,"-34.99"
28/01/2024,Bar Cafetería,"-12.50"
29/01/2024,Endesa Luz,"-78.45"
30/01/2024,Carrefour Compra,"-95.80"
31/01/2024,Alquiler Vivienda,"-750.00"
01/02/2024,Seguro Coche Mapfre,"-65.00"
02/02/2024,Ikea Muebles,"-125.00"
03/02/2024,Spotify Premium,"-9.99"
05/02/2024,Glovo Pedido,"-18.50"
07/02/2024,Decathlon Deportes,"-45.00"
10/02/2024,Parking Centro,"-12.00"
12/02/2024,Cine Entrada,"-9.50"
15/02/2024,Nómina Empresa S.L.,2500.00
16/02/2024,Lidl Compra,"-68.90"
18/02/2024,Shell Gasolina,"-70.00"
20/02/2024,McDonald's,"-15.80"
22/02/2024,Peluquería Style,"-25.00"
23/02/2024,Orange Internet,"-39.90"
25/02/2024,Pull&Bear Ropa,"-55.00"
26/02/2024,Supermercado Eroski,"-78.50"
27/02/2024,Taxi Desplazamiento,"-18.00"
28/02/2024,Librería Casa del Libro,"-22.50"
01/03/2024,Comunidad Gastos,"-85.00"
02/03/2024,Dentista Consulta,"-80.00"
05/03/2024,Venta Wallapop,75.00
08/03/2024,H&M Compra,"-42.90"
10/03/2024,Telepizza Pedido,"-24.50"
12/03/2024,Uber Viaje,"-15.50"
15/03/2024,Nómina Empresa S.L.,2500.00
16/03/2024,Alcampo Compra Grande,"-125.00"
18/03/2024,Galp Combustible,"-68.00"
20/03/2024,Spotify + HBO Bundle,"-19.98"
22/03/2024,Fnac Electrónica,"-89.90"
24/03/2024,Burger King,"-12.50"
26/03/2024,Movistar Móvil,"-35.00"
28/03/2024,Mango Outlet,"-65.00"
30/03/2024,Consum Supermercado,"-58.70"
